name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage

#New commands,,,,,,,,,,,,,,,,,,,,,,,
customvoice1_1,1,Voiceovers/MP/01_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice1_2,1,Voiceovers/MP/02_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice1_3,1,Voiceovers/MP/03_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice1_4,1,Voiceovers/MP/04_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice1_5,1,Voiceovers/MP/05_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice1_6,1,Voiceovers/MP/06_BlancO.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp

customvoice2_1,1,Voiceovers/MP/01_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_2,1,Voiceovers/MP/02_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_3,1,Voiceovers/MP/03_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_4,1,Voiceovers/MP/04_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_5,1,Voiceovers/MP/05_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_6,1,Voiceovers/MP/06_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
customvoice2_7,1,Voiceovers/MP/07_DiCE.mp3,1.00,1.00,,,,7,3000,voice,streamed,0,nonlooping,,all_mp
